src_mac,dest_mac,eth_proto,src_ip,dst_ip,protocol,src_port,dst_port,packet
52:54:00:12:35:00,08:00:27:1E:36:4A,8,,,,,,
 , ,6,23.33.245.71,10.0.2.4,6, , , 
,,6,443,43512,6,,,"b""\x17\x03\x03\x008\xe7\x12\x91J\xef\xd7K\xb5\xe8\x1c\x0e\x8bF\x8e>\xbf\x9e3\x86'\x16W\xb4|\xda\xe4h_\xe0\x04\xca\xa2\x91\x18\x91\xc1+\xb5\xdd\x9f!\xba\xd2\xf8\x9a\x99\xa3#\xe7\x00\x0b%\xa0\xc0\t\xa6\x17\x03\x03\x00\x1a\xb7\xda\xa06GUw\x89JD\x0c\xf5\x83\xf5\x03\x04\xe2\xac\x99V\xca\xca,\xf2=$"""
08:00:27:1E:36:4A,52:54:00:12:35:00,8,,,,,,
 , ,6,10.0.2.4,23.33.245.71,6, , , 
,,6,43512,443,6,,,b''
08:00:27:1E:36:4A,52:54:00:12:35:00,8,,,,,,
 , ,6,10.0.2.4,23.33.245.71,6, , , 
,,6,43512,443,6,,,b'\x17\x03\x03\x00\x1as\x8b\x07X\x9c\xfc0(6|Q\x98\xab/\x84\xc0 R7\x13G\x11|\xa4\x0b\r'
52:54:00:12:35:00,08:00:27:1E:36:4A,8,,,,,,
 , ,6,23.33.245.71,10.0.2.4,6, , , 
,,6,443,43512,6,,,b'\x00\x00\x00\x00\x00\x00'
08:00:27:1E:36:4A,52:54:00:12:35:00,8,,,,,,
 , ,6,10.0.2.4,23.33.245.71,6, , , 
,,6,43512,443,6,,,"b'\x17\x03\x03\x00\xf2#\x19\xad\x95\xd5\xd63\x99\x99?\xe1\xf8\xd4\xd5\x19\xa1*\xba#\xa8\x84\xae\x8c\x80\xb7\x83z\xcfH4[\xeb\x860\xdc$\x91((\x0f\xdd\r\xc8_\x80\xdd\x99\xa1z-a\x97\xf4\xe8%D\x89\xbe$\xbc\x9a\x0b.\xd4?me-\xc79\xcd/\x13\xeb%\'\x99\xb5^\xd6\xa5p\x9c\x8b[\xd7\xd4\xe7\xa3\xe1u\x7f\x90\x8bJ}\x89\xbf\xa3\xbfi\xb1\xb98\xe6B\x06\xbe\xee\xdbD\xbb\xa0\'\xe0\xb4\xa9\xd4\xd2\x06\xd7\x9eD\xdeUT\xe0\xc6 0XW\x8c\t\xc8\xff\x94\xd0UM\xabi\xed\xa4\xa8l>u#\xaf\x12D\x93\xf4\xe7\xf7\xe9\xc5\x84m\xb7\xa93\xf6\x11 \x9dsfeXUOe\xd5\xc6\xf9*?\x98\xa8\xa3*9{)i\xefw\xa8\x91`\xf5\xe6#\xea^W\x19R\xb8B\xa5B\x8cG\xbb\xee\xd8\x19\xbaK\xb1\x02""G\x0f}\xea\x9e\x13T\xf4\xfc\xd29\xdd\x1d\x8b\x1b\xcc\x99\x1d.\x1d?!\xd2\xfc7\xb1\x1e'"
08:00:27:1E:36:4A,52:54:00:12:35:00,8,,,,,,
 , ,17,10.0.2.4,103.62.236.84,17, , , 
